feed_id,topic_slug,locale,hl,gl,ceid,url,status,notes
feed_politics_us,politics,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=politics&hl=en-US&gl=US&ceid=US:en,active,primary
feed_economy_us,economy,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=economy&hl=en-US&gl=US&ceid=US:en,active,primary
feed_world_us,world,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=world&hl=en-US&gl=US&ceid=US:en,active,primary
feed_technology_us,technology,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=technology&hl=en-US&gl=US&ceid=US:en,active,primary
feed_health_us,health,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=health&hl=en-US&gl=US&ceid=US:en,active,primary
feed_climate_us,climate,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=climate&hl=en-US&gl=US&ceid=US:en,active,primary
feed_markets_us,markets,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=markets&hl=en-US&gl=US&ceid=US:en,active,primary
feed_security_us,security,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=security&hl=en-US&gl=US&ceid=US:en,active,primary
feed_business_us,business,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=business&hl=en-US&gl=US&ceid=US:en,active,primary
feed_science_us,science,en-US,hl=en-US,gl=US,US:en,https://news.google.com/rss/search?q=science&hl=en-US&gl=US&ceid=US:en,active,primary
feed_politics_uk,politics,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=politics&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_economy_uk,economy,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=economy&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_world_uk,world,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=world&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_technology_uk,technology,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=technology&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_health_uk,health,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=health&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_climate_uk,climate,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=climate&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_markets_uk,markets,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=markets&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_security_uk,security,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=security&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_business_uk,business,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=business&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_science_uk,science,en-GB,hl=en-GB,gl=GB,GB:en,https://news.google.com/rss/search?q=science&hl=en-GB&gl=GB&ceid=GB:en,active,secondary
feed_politics_it,politics,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=politica&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_economy_it,economy,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=economia&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_world_it,world,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=esteri&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_technology_it,technology,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=tecnologia&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_health_it,health,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=salute&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_climate_it,climate,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=clima&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_markets_it,markets,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=mercati&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_security_it,security,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=sicurezza&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_business_it,business,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=aziende&hl=it&gl=IT&ceid=IT:it,active,secondary
feed_science_it,science,it-IT,hl=it,gl=IT,IT:it,https://news.google.com/rss/search?q=scienza&hl=it&gl=IT&ceid=IT:it,active,secondary
